keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
1,yes,100%,POLSEX,Percent women elected as mayor within subcity,"Indicator variable of whether the elected mayor in the election for the specified year was a woman or for Argentina, percent of municipalities within a subcity (L2) that have a female elected as mayor in the last known election in 2015 or 2017.","Social, Economic, and Services Environment",Gender Equity,WomenPP_v1.0,1427,0,1427,""
1,yes,93%,PRJPD,Percent population change from 5 years prior to target year,Percent population change from 5 years prior to target year. The percent population change was calculated using the formula: [(PRJ<level>TPY1 - PRJ<level>TPY2) / PRJ<level>TPY2] *100,Demographics,Population,PRJG_v2.0,25795,1995,27790,""
1,yes,87%,PRJPOP,Number of people,Number of people,Demographics,Population,PRJ_v2.0,502137,73516,575653,""
0,yes,88%,PRJSPOP,Number of people,Number of people,Demographics,Population,PRJS_v2.0,731679,99747,831426,""
1,yes,93%,PRJTPOP,Number of people,Number of people at given sex,Demographics,Population,PRJT_v2.0,102105,8130,110235,""
0,yes,93%,PRJTPY1,Total population at target year,Total population at target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year. This was used as an intermediate variable in the calculation of the percent population change from 5 years prior to target year (PRJPD).,Demographics,Population,PRJG_v2.0,25830,1995,27825,""
0,yes,93%,PRJTPY2,Total population 5 years prior to target year,Total population 5 years prior to target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year. This was used as an intermediate variable in the calculation of the percent population change from 5 years prior to target year (PRJPD).,Demographics,Population,PRJG_v2.0,25795,1995,27790,""
0,yes,100%,REGIONBR,Region in Brazil,"Indicates a region in Brazil:
1 = North
2 = Northeast
3 = Southeast
4 = South
5 = Central-West","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,no,0%,SECEMPRAT,Female to Male Ratio of Unemployment,This is the ratio of female unemployment to male unemployment: SECEMPRAT = SECUNEMPPF (female unemployment rate)/SECUNEMPM (Male Unemployment rate). The ratio of the unemployment rate among females (15+ years of age) to the unemployment rate among males (15+ years of age),"Social, Economic, and Services Environment",Economy; Gender Equity,SEC_Survey_v1.0,0,330,330,"Pending final cdbk review, default to not public"
0,yes,100%,SECGDPGADML,Administrative level of GDP per capita ,"Administrative level of the GDP estimate assigned to each SALID1. For L1ADs which incorporate multiple subnational administrative units, levels of all administrative units included in the GDP estimate are concatenated. For example, an L1AD which overlapped both a department and a federal district would have a value of “Department / Federal District.”","Social, Economic, and Services Environment",Economy,SECGDPGPC_v1.0,9646,0,9646,""
1,yes,100%,SECGDPGPPC,GDP per capita,"Gross Domestic Product (GDP) per capita (purchasing power parity in constant 2011 international US Dollars). Subnational GDP estimates are based on an extensive econometric analysis by Genaioli and colleagues in 2013. GDP per capita (purchasing power parity in constant 2011 international USD) was estimated globally using complete data available at the smallest administrative unit possible. Within Latin American countries, this subnational level was generally the first-level administrative unit (departments/states/etc.) in addition to federal districts in Argentina, Brazil, Mexico, and Nicaragua. The exception is Costa Rica, which has one national GDP estimate and no estimates at the subnational level.","Social, Economic, and Services Environment",Economy,SECGDPGPC_v1.0,9646,0,9646,""
0,yes,100%,SECGINICEPAL,Income-based Gini obtained from CEPAL,"The Gini Index is a widely used summary measure of economic inequality that describes the distribution of wealth or income in a population. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. 
Some features of the Gini Index as a measure of inequality are: 1)Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older); 2) Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indices; 3) Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. The Gini index was calculated based on per capita household income deciles using disaggregated data on monetary income from salaries, rents, capital, transfers, and other from country household surveys. Data were harmonized across surveys to ensure internal consistency and for comparison between countries and cities, including adjusting per capita incomes for purchasing power parity using 2005 as the reference year and the consumer price index of a given survey year. The primary estimates were completed by the Division of Social Development of CEPAL and verified by the Global Urban Observatory of the UN Habitat. ","Social, Economic, and Services Environment",Inequality,SEC_GINICEPAL_v1.0,990,0,990,""
1,yes,100%,SECGINICONS,Income GINI index,"A summary measure of economic inequality in terms of the distribution of per capita household income in the defined geographic area. The Gini Index is a widely used summary measure of economic inequality that describes distribution of wealth or income in a population. The Gini Index is based on the Lorenz curve, which plots the cumulative percentage of households (from the poorest to the richest) on the horizontal axis against the cumulative percentage of the income or consumption variable on the vertical axis. The Gini Index is calculated as twice the area between the Lorenz curve and the diagonal line crossing the intersection between the horizontal and vertical axes. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. Some features of the Gini Index as a measure of inequality are:  
• Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older) 
• Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indi-ces. 
• Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. ","Social, Economic, and Services Environment",Inequality,SEC_GINI_v1.0,168,0,168,""
0,yes,100%,SECGINIINC,Consumption GINI index,"A summary measure of economic inequality in terms of the distribution of per capita household consumption in the defined geographic area. The Gini Index is a widely used summary measure of economic inequality that describes distribution of wealth or income in a population. The Gini Index is based on the Lorenz curve, which plots the cumulative percentage of households (from the poorest to the richest) on the horizontal axis against the cumulative percentage of the income or consumption variable on the vertical axis. The Gini Index is calculated as twice the area between the Lorenz curve and the diagonal line crossing the intersection between the horizontal and vertical axes. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. Some features of the Gini Index as a measure of inequality are:  
• Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older) 
• Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indi-ces. 
• Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. ","Social, Economic, and Services Environment",Inequality,SEC_GINI_v1.0,1355,0,1355,""
0,no,0%,SECLABFEM,The proportion of the total labor force who are female.,The proportion of the total labor force who are female among the population 15 years of age or above.  SECLABFEM= Females in the Labor Force/ (Males+ Females) in the labor Force,"Social, Economic, and Services Environment",Economy,SEC_Survey_v1.0,0,330,330,"Pending final cdbk review, default to not public"
0,no,0%,SECLABPART,The labor force participation rate among the total population 15 years or above,The labor force participation rate among the total population 15 years or above,"Social, Economic, and Services Environment",Economy,SEC_Survey_v1.0,0,990,990,"Pending final cdbk review, default to not public"
0,no,0%,SECLABRAT,Female to Male Ratio of Labor Force Participation,The ratio of the labor force participation rate among females (15+ years of age) to the labor force participation rate among males (15+ years of age),"Social, Economic, and Services Environment",Economy; Gender Equity,SEC_Survey_v1.0,0,330,330,"Pending final cdbk review, default to not public"
1,no,0%,SECPOV,Proportion of the population with household income below the national income poverty line.,"The proportion of the population in the defined geographic area living in households with household income below the national income poverty line. Each country has different methods for setting their poverty line, though most use a basic needs approach that is based on a basic food basket and essential non-food basket that is unique to each country","Social, Economic, and Services Environment",Economy,SEC_Survey_v1.0,0,1591,1591,"Pending final cdbk review, default to not public"
0,no,0%,SECUNEMP,Unemployment rate among the total population 15 years or above,"Unemployment variables reflect the proportion of the labor force (SECLABFOR) 15 years of age or more (with exceptions as noted Argentina where age is 10 and over and Brasil where age is 14 and over) who are unemployed, overall and by gender. Survey results are presented in three categories: employed, unemployed, or inactive. Employed refers to those who are working for payment, whether for money, products, merchandise, benefits, and/or other remuneration for at least 1 hour during a reference time period (usually a specific week). Unemployed refers to those who are not currently employed, but that are actively seeking employment during a certain time period (usually a month reference period) and are considered part of the labor force. Inactive refers to those who are not employed or unemployed and generally consists of retirees, students, volunteers, and those engaged in personal household labor activities.","Social, Economic, and Services Environment",Economy,SEC_Survey_v1.0,0,990,990,"Pending final cdbk review, default to not public"
1,yes,100%,SGDISEDPRCP,"Dissimilarity index, primary incomplete vs complete",Dissimilarity index: primary incomplete vs. primary completed,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,247,0,247,""
1,yes,100%,SGDISEDPRUN,"Dissimilarity index, primary incomplete vs university complete",Dissimilarity index: primary incomplete vs. university completed,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,120,0,120,""
1,yes,100%,SGDISETBKWM,"Dissimilarity index, black vs white-mestizo",Dissimilarity index based on race/ethnicity: black vs. white and mestizo,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
1,yes,100%,SGDISETBXWM,"Dissimilarity index, black-Raizal-Palenquer vs white-mestizo ",Dissimilarity index based on race/ethnicity: black (including Raizal and Palanquero) vs. white and mestizo,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
1,yes,100%,SGDISIC1VOT,"Dissimilarity index, ≤1 minimum wage vs others",Dissimilarity index based on household income: ≤ 1 vs. > 1 minimum wage,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISIC2VOT,"Dissimilarity index, ≤2 minimum wages vs others",Dissimilarity index based on household income: ≤ 2 vs. > 2 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISIC3VOT,"Dissimilarity index, ≤3 minimum wage vs others",Dissimilarity index based on household income: ≤ 3 vs. > 3 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISICHVOT,"Dissimilarity index, ≤half minimum wage vs others",Dissimilarity index based on household income: ≤ ½ vs. > ½ minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISRCBKWT,"Dissimilarity index, black vs white",Dissimilarity index based on race/ethnicity: black vs. white,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISRCBWWT,"Dissimilarity index, brown vs white",Dissimilarity index based on race/ethnicity: brown vs. white,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGDISRCBXWT,"Dissimilarity index, black brown vs white ",Dissimilarity index based on race/ethnicity: black and brown vs. white,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISOEDPRIC,"Isolation index, primary incomplete","Isolation index based on education, primary incomplete: Based on the educational attainment of people of 25 years or older (in Mexico, those of 15 years or older)","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,247,0,247,""
1,yes,100%,SGISOEDUNCP,"Isolation index, university complete","Isolation index based on education, university completed. Based on the educational attainment of people of 25 years or older (in Mexico, those of 15 years or older)","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,120,0,120,""
1,yes,100%,SGISOETBK,"Isolation index, black",Isolation index based on race/ethnicity: black,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
1,yes,100%,SGISOETBX,"Isolation index, black-Raizal-Palenquer","Isolation index based on race/ethnicity: black, Raizal, and Palenquero","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
1,yes,100%,SGISOETWM,"Isolation index, white-mestizo",Isolation index based on race/ethnicity: white or mestizo,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
1,yes,100%,SGISOIC1,"Isolation index, income ≤1 minimum wage",Isolation index based on household income: ≤ 1 minimum wage,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISOIC2,"Isolation index, income ≤2 minimum wages",Isolation index based on household income: ≤ 2 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISOIC3,"Isolation index, income ≤3 minimum wages",Isolation index based on household income: ≤ 3 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISOICH,"Isolation index, income ≤half minimum wages",Isolation index based on household income: ≤ 1/2 minimum wage,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISORCBK,"Isolation index , black",Isolation index based on race/ethnicity: black,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISORCBW,"Isolation index, brown",Isolation index based on race/ethnicity: brown,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISORCBX,"Isolation index, black and brown ",Isolation index based on race/ethnicity: black and brown,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
1,yes,100%,SGISORCWT,"Isolation index, white",Isolation index based on race/ethnicity: white,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNALL,Number of L3 units ,Number of all L3 units found in the census data within L1AD,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,399,0,399,""
0,yes,100%,SGNEDALL,Number of people with education information,Number of people who responded to the question on educational attainment,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,247,0,247,""
0,yes,100%,SGNEDPRCP,Number of people with primary education,Number of people who completed primary school as the highest institution,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,155,0,155,""
0,yes,100%,SGNEDPRIC,Number of people without primary education,Number of people who did not complete primary school,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,247,0,247,""
0,yes,100%,SGNEDSCCP,Number of people with secondary education,Number of people who completed secondary school as the highest institution,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,155,0,155,""
0,yes,100%,SGNEDUNCP,Number of people with undergraduate education,Number of people who completed university as the highest institution,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,120,0,120,""
0,yes,100%,SGNEMP,Unpopulated L3 units,Number of unpopulated L3 units within L1AD,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,399,0,399,""
0,yes,100%,SGNETALL,Number of people with ethnicity information,Number of people who responded to the question on ethnicity,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
0,yes,100%,SGNETBK,Number of black people,"Number of people, black","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
0,yes,100%,SGNETBX,"Number of black, raizal y palenquero people","Number of people, black (including Raizal and Palanquero)","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
0,yes,100%,SGNETWM,Number of white and mestizo people,"Number of people, white and mestizo","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,70,0,70,""
0,yes,100%,SGNIC1,Number of households with ≤1 minimum wage,Number of private households with an income ≤ 1 minimum wage,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNIC2,Number of households with ≤2 minimum wages,Number of private households with an income ≤ 2 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNIC3,Number of households with ≤3 minimum wages,Number of private households with an income ≤ 3 minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNICALL,Number of private households ,Number of private households,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNICH,Number of households with ≤half minimum wages,Number of private households with an income ≤½ minimum wages,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNNAV,Number of unavailable L3 units ,Number of L3 units for which data were not available within L1AD,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,399,0,399,""
0,yes,100%,SGNRCALL,Number of people with race information,Number of people who responded to the question on race,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNRCBK,Number of black people,"Number of people, black","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNRCBW,Number of brown people,"Number of people, brown","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNRCBX,Number of black and brown people,"Number of people, black and brown","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNRCWT,Number of white people,"Number of people, white","Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,152,0,152,""
0,yes,100%,SGNUSE,Number of populated L3 units,Number of populated and available L3 units within L1AD,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,399,0,399,""
0,yes,100%,SGPOP,Number of population in L1AD,Number of people in L1AD used to construct segregation indices,"Social, Economic, and Services Environment",Segregation,SEC_SegregationIdx_v1.0,399,0,399,""
1,yes,60%,SPVBMIOBESE,Adult obesity prevalence,Prevelence estimate for obesity in adults aged 18 and older. Obesity is defined as body mass index (BMI) >=30 based on WHO classification. BMI was calculated from objectively measured height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,6049,4079,10128,""
1,yes,60%,SPVBMIOVOB,Adult overweight and obese prevalence,Prevalence estimate for overweight and obese in adults aged 18 and older. Overweight and obese is defined as body mass index (BMI) >=25 based on WHO classification. BMI was calculated from objectively measured height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,6187,4111,10298,""
1,yes,100%,SPVBMISOBESE,Adult obesity prevalence,Prevelence estimate for obesity in adults aged 18 and older. Obesity is defined as body mass index (BMI) >=30 based on WHO classification. BMI was calculated from self-reported height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,1126,0,1126,""
1,yes,100%,SPVBMISOVOB,Adult overweight and obese prevalence,Prevalence estimate for overweight and obese in adults aged 18 and older. Overweight and obese is defined as body mass index (BMI) >=25 based on WHO classification. BMI was calculated from self-reported height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,1126,0,1126,""
0,yes,100%,SPVBMISUWT,Adult underweight prevalence,Prevalence estimate for underweight in adults aged 18 and older. Underweight is defined as body mass index (BMI) <18.5 based on WHO classification. BMI was calculated from self-reported height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,1126,0,1126,""
0,yes,59%,SPVBMIUWT,Adult underweight prevalence,Prevalence estimate for underweight in adults aged 18 and older. Underweight is defined as body mass index (BMI) <18.5 based on WHO classification. BMI was calculated from objectively measured height and weight.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,5166,3521,8687,""
0,yes,100%,SPVCESD7CAT,Clinically significant depressive symptoms prevalence based on CESD-SF7,Prevalence Estimate for clinically significant depressive symptoms based on Center for Epidemiological Studies Depression short form (CESD-SF7) depressive symptoms scale in adults aged 18 and older. Clinically significant depressive symptoms is defined as CESD-SF7 score >=9.,Health Risk Factors,Adult General and Mental Health,adult_survey_prevalence_v1.0,1165,0,1165,""
0,yes,63%,SPVCURRALC1,Prevalence of current alcohol use within past 30 days,Prevalence Estimate for current alcohol use within the past 30 days in adults aged 18 and older. Current alcohol use is defined as drinking at least one alcoholic beverage in the past 30 days.,Health Risk Factors,Adult Behavioral Risk Factors,adult_survey_prevalence_v1.0,3298,1963,5261,""
0,yes,100%,SPVCURRALC2,Prevalence of current alcohol use within past 12 months,Prevalence estimate for current alcohol use within past 12 months in adults aged 18 and older. Current alcohol use is defined as drinking at least one alcoholic beverage in the past 12 months as recommended by the World Health Organization (WHO) Global Alcohol Report (https://www.who.int/substance_abuse/publications/global_alcohol_report/msbgsruprofiles.pdf).,Health Risk Factors,Adult Behavioral Risk Factors,adult_survey_prevalence_v1.0,20,0,20,""
1,yes,73%,SPVDBDX1,Prevalence of diabetes diagnosis excluding gestational diabetes,"Prevelance estimate of diabetes diagnosis excluding gestational diabetes in adults aged 18 and older. Diabetes diagnosis is considered as self-reporting a diagnosis from doctor, physician or other medical professional. Females who reported that the diabetes was diagnosed only during pregnancy are considered to be non-diabetic.",Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,5350,1963,7313,""
1,yes,100%,SPVDBDX2,Prevalence of diabetes diagnosis including gestational diabetes,"Prevelance estimate of diabetes diagnosis including gestational diabetes in adults aged 18 and older. Diabetes diagnosis is considered as self-reporting a diagnosis from doctor, physician or other medical professional. Females who reported that the diabetes was diagnosed only during pregnancy are considered to be diabetic.",Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,1029,0,1029,""
0,yes,36%,SPVDXDEP,Prevalence of depression diagnosis,Prevalence estimate for depression diagnosis in adults aged 18 and older. A survey respondent is classified as having depression diagnosis if they self-report having been told by a physician or health care provider that they have depression.,Health Risk Factors,Adult General and Mental Health,adult_survey_prevalence_v1.0,660,1178,1838,""
1,yes,69%,SPVHLTHFP,Prevalece of fair or poor self-rated health,"Prevalence estimate for fair or poor self-rated health in adults aged 18 years and older. Self-reported health status was dichotomized as reporting very poor, poor or fair health vs. good, very good, or excellent health.",Health Risk Factors,Adult General and Mental Health,adult_survey_prevalence_v1.0,3004,1378,4382,""
1,yes,76%,SPVHTMED,Prevalence of current pharmacological treatment for hypertension,Prevalence estimate for current pharmacological treatment for hypertension in adults aged 18 and older. Pharmalogical treatment is defined as self-reporting medication use for hypertension or high blood pressure.,Health Risk Factors,Adult Biomedical Risk Factors,adult_survey_prevalence_v1.0,6346,1963,8309,""
1,yes,62%,SPVMAM2YRS,Prevalence of receiving mammogram in past 2 years amongst women aged 50-79,Prevalence estimate for receiving a mammogram in past 2 years amongst women aged 50-19.,"Social, Economic, and Services Environment",Health Care Access,adult_survey_prevalence_v1.0,320,197,517,""
0,yes,99%,SPVPAGLOBCAT,Prevalence of meeting recommended physical activity through global physical activity,"Prevalence estimate of meeting WHO exercise guidelines through global physical activity in adults aged 18 and older. A cutoff point of 150 minutes per week was used to classify subjects as active versus inactive in accordance with the recommendations from WHO, 2018 definition of active as at least 150 minutes of moderate-intensity physical activity throughout the week, or at least 75 minutes of vigorous-intensity physical activity throughout the week, or an equivalent combination of moderate- and vigorous-intensity activity. Global physical activity includes physical activity from transportation or leisure time activities.",Health Risk Factors,Adult Behavioral Risk Factors,adult_survey_prevalence_v1.0,1649,21,1670,""
0,yes,42%,SPVPALEISCAT,Prevalence of meeting recommended physical activity through leisure physical activity,"Prevalence estimate of meeting WHO exercise guidelines through leisure time physical activity in adults aged 18 and older. A cutoff point of 150 minutes per week was used to classify subjects as active versus inactive in accordance with the recommendations from WHO, 2018 definition of active as at least 150 minutes of moderate-intensity physical activity throughout the week, or at least 75 minutes of vigorous-intensity physical activity throughout the week, or an equivalent combination of moderate- and vigorous-intensity activity.",Health Risk Factors,Adult Behavioral Risk Factors,adult_survey_prevalence_v1.0,640,895,1535,""
1,yes,43%,SPVPAP3YRS,Prevalence of receiving pap test in past 3 years amongst women aged 25-49,Prevalence of receiving pap test in past 3 years amongst women aged 25-49.  Three years was chosen to meet the recommended time frame of cancer screening guidelines.,"Social, Economic, and Services Environment",Health Care Access,adult_survey_prevalence_v1.0,318,416,734,""
0,yes,54%,SPVPHQ9DEP,Major depressive symptoms prevalence based on PHQ-9,Prevalence Estimate for major depressive symptoms based on Patient Health Questionnaire (PHQ9) depressive symptoms scale in adults aged 18 and older. Major depressive symptoms is defined as PHQ9 score >=10.,Health Risk Factors,Adult General and Mental Health,adult_survey_prevalence_v1.0,359,307,666,""
0,yes,76%,SPVSMKCUR,Prevalence of current smokers,"Prevalence estimate for current smoker amonst adults aged 18 and older. Current smokers are smokers of cigarettes or tobacco products. If a tobacco use question is available, then it is used to create this variable (this follows WHO definitions). If it is absent but a cigarette use question is available, the cigarette use question is used. For CO-ENSIN2010, GT-DHS2015, NI-CAMID2003 and PE-ENDES2016 where lifetime smoking is not available, this uses the version of current smoking available for that survey. NI-CAMDI2003 is current tobacco use > 100 and CO-ENSIN2010, GT-DHS2015, and PE-ENDES2016 are current cigarette use any amount. Recommendations: For most analyses, the combined version of cigarette and tobacco use (SVYSMKHX and SVYSMKCUR) can be used. Caution should be taken in the interpretation given the differences in how tobacco use is collected.",Health Risk Factors,Adult Behavioral Risk Factors,adult_survey_prevalence_v1.0,6379,1963,8342,""
1,yes,67%,SVYOVWTCH,Prevalence estimate for percent of children who are overweight,Prevalence estimate for percent of children aged 1-4 years who are overweight. Overweight is defined as weight for height z-score > 2.,Health Risk Factors,Childhood Biomedical Risk Factors	,child_survey_prevalence_city_v1.0,188,94,282,""
1,yes,67%,SVYSTUNTCH,Prevalence estimate for percent of children who are stunting,Prevalence estimate for percent of children aged 1-4 years who are stunting. Stunting is defined as height for age z-score < -2.,Health Risk Factors,Childhood Biomedical Risk Factors	,child_survey_prevalence_city_v1.0,188,94,282,""
1,yes,67%,SVYWASTECH,Prevalence estimate for percent of children who are wasting,Prevalence estimate for percent of children aged 1-4 years who are wasting. Wasting is defined as weight for height z-score < -2.,Health Risk Factors,Childhood Biomedical Risk Factors	,child_survey_prevalence_city_v1.0,188,94,282,""
1,yes,100%,TMPMAX,Maximum temperature within the calendar year ,Maximum yearly temperature in Celsius.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPMEAN,Mean (average) yearly temperature,Mean (average) yearly temperature in Celsius. This is calculated as the mean of all days within the calendar year.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPMEDIAN,Median yearly temperature,Median yearly temperature in Celsius. This is calculated as the median of all days within the calendar year.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPMIN,Minimum temperature within the calendar year,Minimum yearly temperature in Celsius.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
0,yes,100%,TMPN,Number of days used in calculating average temperature ,Number of days used in calculating the yearly summary measures. This is either 365 or 366 (leap years).,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPPW,Population and area weighted daily mean temperature,Population and area weighted daily mean temperature calculated as the mean of all temperature values available within the day weighted by area*population for the grid cells overlapping the geographic unit.,Physical and Natural Environment,Climate,TMPDAILY_v1.0,150000,0,150000,""
1,yes,100%,TMPQRANGE,Interquartile range of yearly temperature measures,Interquartile range of yearly temperature in Celsius. This is calculated as the interquartile range of all days within the calendar year.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPSTD,Standard Deviation of yearly temperature measures. ,Standard deviation of year temperature measure. This is calculated as the standard deviation of all days within the calendar year.,Physical and Natural Environment,Climate,TMP_v1.0,43560,0,43560,""
1,yes,100%,TMPX,Area weighted daily mean temperature mean,Area weighted daily mean temperature calculated as the mean of all temperature values available within the day weighted by area for the grid cells overlapping the geographic unit.,Physical and Natural Environment,Climate,TMPDAILY_v1.0,150000,0,150000,""
1,yes,93%,UCNT,Undercounting factor,Estimated sex-specific undercounting factor,Mortality,Mortality Rates,UCNT_Longit_v2.0,13186,1056,14242,""
