keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
0,no,0%,BECTPOP,Total population,"Total population within the administrative boundary. Population is adjusted for United Nations’ country-level population projections. (Currently available for L1AD, L1UX, L1XS, L2, and L3 units, with available years vary by country and geographic unit, see Table 1). 
Interpretation: A higher value indicates more people residing in the unit. For applications, see McCarty & Kaza (2015).",Physical and Natural Environment,Urban Form Metrics,BEC_v1.0,0,91382,91382,"Pending final cdbk review, default to not public"
0,no,0%,BECTSEASONWATERAREA,total area of permanent water bodies,Area in hectares covered by seasonal water bodies (present in some months in a year) of a geographic unit in a year. ,Physical and Natural Environment,Natural Environment and Parks,BEC_v1.0,0,1072208,1072208,"Pending final cdbk review, default to not public"
0,no,0%,BECTUAREA,Total urban area,"Total area (in hectares) of 30m x 30m grid cells classified as urbanized inside the geographic boundary (currently available for L1AD, L1UX, L1UXS and L2). Interpretation: Effective urbanized area, net of water, forest. Large value reflects higher level of urban expansion. For applications, see Boentje & Blinnikov(2007)and McCarty & Kaza (2015).",Physical and Natural Environment,Urban Landscape,BEC_v1.0,0,2549,2549,"Pending final cdbk review, default to not public"
1,no,0%,BECURBLANDP,Urban landscape profiles,Characterize the urban landscape profiles designed by the finite mixture modelling approach. Interpretation: in the database is specified the label of each profile and in the appendix section is available the description of each profile and a caption. ,Physical and Natural Environment,Urban Landscape,BEC_v1.0,0,370,370,"Pending final cdbk review, default to not public"
1,yes,95%,BTHBIRTHS,Number of births,Number of births,Demographics,Birth/Fertility,BTH_v1.0,90351,5148,95499,""
1,yes,93%,CDR,Crude mortality rate,"Crude mortality rate expressed as per 1,000 population",Mortality,Mortality Rates,MR_allcause_v2.0,19779,1584,21363,""
1,yes,100%,CNSCROWD25BR,"Overcrowding, bedrooms",Percentage of households with more than 2.5 people per bedroom. ,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,23807,0,23807,""
1,yes,100%,CNSCROWD3RM,"Overcrowding, rooms",Percentage of households with more than 3 people per room. ,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,52537,0,52537,""
1,yes,100%,CNSEMPRAT,"Unemployment, female to male ratio",Ratio of the female (15 years of age and older) unemployment rate to the male (15 years of age and older) unemployment rate.,"Social, Economic, and Services Environment",Gender Equity; Economy,SEC_Census_v1.0,85790,0,85790,""
1,yes,100%,CNSFLOOR,Finished floors,"Percentage of dwellings with finished floors. Finished floors include any material that is not any type of earth (dirt, sand, or loose brick).","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,83082,0,83082,""
1,yes,100%,CNSFM,Proportion of women formally married among all women ages 15 to 17,Proportion of women 15 to 17 formally married among all women ages 15 to 17,"Social, Economic, and Services Environment",Gender Equity,SEC_marriage_v1.0,1791,0,1791,""
1,yes,100%,CNSFMARBF18,Proportion of women formally married among all married women,Proportion of women 15 to 17 formally married among all married women,"Social, Economic, and Services Environment",Gender Equity,SEC_marriage_v1.0,1791,0,1791,""
1,yes,90%,CNSGIIV1,Gender inequality index (GII),"This measure was adapted from the Gender Inequality Index developed by the United Nations Development Fund (UNDP), which uses country-level data to characterize three dimensions: health (maternal mortality and adolescent birth rates), empowerment (education and government), and the labor market (labor force participation). This index is a measure of the loss in potential human development due to inequality between women and men in these three dimensions. It ranges from 0, indicating a context where women and men fare equally, to 1, indicating a context in which one gender fares poorly compared to the other in all measured dimensions. For SALURBAL cities, we adapted the index to capture gender-based disadvantage and created 2 versions, one including the three dimensions and the other one including only two dimensions: empowerment and the labor market. This is the verion using all three dimentions. It was constructed using city level data from vital registrations and population projections, census: % female and male labor force participation, % female and male population 25+ with at least high school education, and the % women and men in mayoral positions in the government for the period of 2010-2015 obtained from different sources for each country.  To construct the index, we followed the formulas described by UNDP.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,310,33,343,""
1,yes,100%,CNSGIIV2,Gender inequality index (GII) without health component,"This measure was adapted from the Gender Inequality Index developed by the United Nations Development Fund (UNDP), which uses country-level data to characterize three dimensions: health (maternal mortality and adolescent birth rates), empowerment (education and government), and the labor market (labor force participation). This index is a measure of the loss in potential human development due to inequality between women and men in these three dimensions. It ranges from 0, indicating a context where women and men fare equally, to 1, indicating a context in which one gender fares poorly compared to the other in all measured dimensions. For SALURBAL cities, we adapted the index to capture gender-based disadvantage and created 2 versions, one including the three dimensions and the other one including only two dimensions: empowerment and the labor market. This is the verion using two dimentions. It was constructed using city level data from vital registrations and population projections, census: % female and male labor force participation, % female and male population 25+ with at least high school education, and the % women and men in mayoral positions in the government for the period of 2010-2015 obtained from different sources for each country.  To construct the index, we followed the formulas described by UNDP.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,370,0,370,""
1,yes,100%,CNSHSEDRAT,"Completed secondary education, female to male ratio",Ratio of the female population aged 25 or older who completed secondary education or above to the male population aged 25 or older who completed secondary education or above.,"Social, Economic, and Services Environment",Gender Equity; Education,SEC_Census_v1.0,59849,0,59849,""
1,yes,100%,CNSLABPART,Labor force participation,Percentage of the working-age population 15 years of age or older who participate in the labor force. (Employed + Unemployed)/(Total working age population). ,"Social, Economic, and Services Environment",Economy,SEC_Census_v1.0,275667,0,275667,""
1,yes,100%,CNSLABPROP,Female labor force,Percentage of the female labor force (15 years of age and older) among the total labor force.,"Social, Economic, and Services Environment",Gender Equity; Economy,SEC_Census_v1.0,91891,0,91891,""
1,yes,100%,CNSLABRAT,"Labor force participation, female to male ratio",Ratio of the female (15 years of age and older) labor force participation rate to the male (15 years of age and older) labor force participation rate.,"Social, Economic, and Services Environment",Gender Equity; Economy,SEC_Census_v1.0,91846,0,91846,""
0,yes,100%,CNSMIGRFORBORN,Foreign born,Foreign born as defined as the proportion of the current population that was born in a different country.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGRINFOR,External migration (proportion of the current population that lived in a different country 5 years ago),External migration into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in a different country 5 years ago.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGRININT,Internal migration (rural and urban-to-urban) in last 5 years,Internal migration (rural and urban-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived elsewhere in the same country 5 years ago.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
0,yes,100%,CNSMIGRININTR,Internal migration (rural-to-urban) in last 5 years ,Internal migration (rural-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in NON-SALURBAL (rural) areas of the same country 5 years ago.,Demographics,Migration,SEC_MIGRATION_v1.0,2255,0,2255,""
